"Name","Type","NameOld","PossibleLosses","Project","Class","Status","StatusDate","HitBy","HitPlace","Fleet","Builders","Images","Sources"
Sergey Kotov,Patrol Ship,"","",Project 22160,"",dameged,"2023-09-14",Sea Baby,North-Western part of the Black Sea,Black Sea,Zaliv Shipyard,"",https://www.reuters.com/world/europe/ukraine-destroys-russian-air-defence-system-near-crimeas-yevpatoriya-source-2023-09-14/
Pavel Derzhavin,Patrol Ship,"","",Project 22160,"",dameged,"2023-10-12",Sea Baby,near Sevastopol,Black Sea,Zaliv Shipyard,images/25.jpeg,https://twitter.com/Tendar/status/1713087923229254069
"",Missile Corvette,"","",Project 21631,Buyan-M,dameged,"2023-10-12",Sea Baby,near Sevastopol,Black Sea,Zelenodolsk Shipyard,"",https://twitter.com/Maks_NAFO_FELLA/status/1712738386484564285
Askold,Missile Corvette,"","",Project 22800,Karakurt,dameged,"2023-11-04",Missile Strike,Zaliv Shipyard,Black Sea,Zaliv Shipyard,"",https://mil.in.ua/uk/news/oprylyudneno-suputnykovi-znimky-sudnobudivnogo-zavodu-zalyv-pislya-raketnoyi-ataky/
D-199,Landing Craft,"",D-144,Project 11770,Serna,destroyed,"2023-11-10",Sea Baby,"Chornomorske, Crimea",Black Sea,Vostochnaya Verf,"",https://mil.in.ua/uk/news/gur-pidtverdylo-urazhennya-rosijskyh-desantnyh-kateriv-proyektiv-akula-ta-serna/
"",Landing Craft,"","",Project 1176,Ondatra ,destroyed and sunk,"2023-11-10",Sea Baby,"Chornomorske, Crimea",Black Sea,"","",https://mil.in.ua/uk/news/gur-pidtverdylo-urazhennya-rosijskyh-desantnyh-kateriv-proyektiv-akula-ta-serna/
Novocherkassk,Large Landing Ship,BDK-46,"",Project 775,Ropucha,destroyed,"2023-12-26",Missile Strike,"Feodosia, Crimea",Black Sea,Gdańsk Shipyard,"",""
Ivanovets,Missile Corvette ,"","",Project 1241,Tarantul,destroyed,"2024-02-01",MAGURA V5 USVs,"Lake Donuzlav, Crimea",Black Sea,Vympel Shipyard,"",""
Caesar Kunikov,Large Landing Ship,BDK-64,"",Project 775,Ropucha,destroyed,"2024-02-14",MAGURA V5 USVs,Berdyansk,Black Sea,Gdańsk Shipyard,"",""
Sergey Kotov,Patrol Ship,"","",Project 22160,"",destroyed,"2024-03-05",MAGURA V5 USVs,"",Black Sea,Zaliv Shipyard,"",""
